faixa_etaria;tamanho_familia;renda_familiar;redacao;sexo_feminino;escola_privada;escola_publica;treineiro;media_objetivas;faltou;branco_amarelo;preto_pardo_indigena;acesso_tecnologia
1;5;9;580.0;1;0;1;0;497.57499999999993;0;1;0;1
9;4;16;;1;0;0;0;;1;0;1;1
5;2;1;560.0;1;0;0;0;396.9;1;0;1;1
0;4;8;660.0;0;0;0;1;602.15;0;0;1;1
4;3;10;920.0;0;0;0;0;630.225;0;1;0;1
19;5;0;760.0;1;0;0;1;569.35;0;1;0;1
19;4;0;;0;0;0;1;;1;1;0;1
1;6;1;440.0;0;0;1;0;441.75000000000006;0;0;1;0
6;4;2;;1;0;0;0;;1;0;1;1
19;4;1;720.0;1;0;0;1;443.475;0;1;0;1
0;3;3;740.0;0;0;1;0;535.075;0;1;0;1
1;3;2;480.0;0;0;1;0;423.425;0;0;1;0
3;3;16;;1;0;0;0;;1;0;1;0
2;3;1;580.0;0;0;0;0;513.125;0;1;0;1
1;3;2;520.0;1;0;0;0;542.05;0;0;1;1
5;2;1;840.0;1;0;0;0;534.175;0;0;1;1
2;4;2;360.0;1;0;0;0;493.55;0;0;1;0
19;4;11;860.0;1;0;0;1;593.225;0;0;1;1
4;4;1;;1;0;0;0;;1;0;1;1
1;3;10;780.0;0;0;0;0;683.375;0;0;1;1
0;5;1;580.0;1;0;1;0;417.67499999999995;0;0;1;1
1;4;12;880.0;0;0;1;0;636.4749999999999;0;1;0;1
2;3;1;780.0;1;0;0;0;504.82499999999993;0;1;0;1
3;4;3;880.0;1;0;0;0;600.975;0;1;0;1
0;5;2;320.0;0;0;1;0;467.85;0;0;1;1
0;4;1;880.0;0;0;1;0;532.575;0;0;1;1
9;5;1;;0;0;0;0;;1;0;1;0
1;4;3;480.0;0;0;1;0;402.55;0;1;0;1
1;4;11;420.0;1;0;1;0;465.475;0;1;0;1
1;4;1;540.0;0;0;1;0;552.925;0;0;1;1
9;3;2;;0;0;0;0;;1;1;0;1
19;3;1;880.0;0;0;0;1;590.9749999999999;0;0;1;1
2;6;16;380.0;1;0;1;0;410.17499999999995;0;1;0;1
19;4;10;700.0;1;0;0;1;600.125;0;1;0;1
0;4;4;780.0;0;1;0;0;559.55;0;1;0;1
1;4;13;;1;0;0;1;;1;1;0;1
10;4;1;;1;0;0;0;;1;0;1;1
1;2;9;700.0;0;0;0;1;547.8;0;1;0;1
2;6;2;680.0;1;0;0;0;490.15;0;1;0;1
1;2;2;;1;0;1;0;;1;0;1;1
12;3;2;;0;0;0;0;;1;0;1;1
0;4;3;;1;0;1;0;;1;0;1;0
2;3;10;800.0;1;0;0;0;570.075;0;1;0;1
1;4;0;940.0;0;1;0;0;682.475;0;1;0;1
6;1;1;600.0;0;0;0;0;518.1;0;0;1;0
1;4;16;;1;0;1;0;;1;0;0;1
9;4;2;520.0;1;0;0;0;475.27500000000003;0;0;1;1
11;2;2;480.0;0;0;0;0;570.475;0;0;1;1
9;2;1;600.0;1;0;0;0;506.875;0;0;1;1
2;3;1;640.0;1;0;0;0;504.225;0;1;0;1
2;3;11;;1;0;0;0;;1;1;0;1
0;5;1;480.0;1;0;0;1;525.05;0;0;1;1
10;2;11;;0;0;0;0;;1;0;1;1
4;3;1;;0;0;0;0;;1;1;0;1
9;1;10;860.0;0;0;0;0;631.875;0;0;1;1
0;2;13;600.0;0;0;1;0;558.225;0;0;1;1
4;4;2;;0;0;0;0;;1;0;1;1
4;2;1;580.0;1;0;0;0;518.2249999999999;0;0;1;1
4;4;1;480.0;0;0;0;0;529.25;0;0;1;1
10;4;16;540.0;1;0;0;0;592.25;0;0;1;1
3;3;1;;1;0;0;0;;1;0;1;1
1;4;1;;0;0;1;0;;1;0;1;0
19;4;10;640.0;1;0;0;1;524.9;0;0;1;1
0;4;15;880.0;0;0;0;1;663.65;0;1;0;1
4;5;1;540.0;1;0;0;0;447.1;0;0;1;0
2;3;3;;1;0;0;0;;1;1;0;1
1;4;1;900.0;1;0;1;0;693.25;0;1;0;1
0;5;2;600.0;1;0;0;1;512.575;0;0;1;1
4;2;11;860.0;1;0;0;0;700.325;0;1;0;1
5;6;1;540.0;0;0;0;0;441.67499999999995;0;0;1;1
11;4;2;520.0;0;0;0;0;496.84999999999997;0;0;1;1
4;4;16;560.0;1;0;0;0;536.5;0;0;0;1
2;3;4;660.0;0;0;0;0;554.0;1;1;0;1
10;2;1;600.0;1;0;0;0;498.82500000000005;0;1;0;1
2;4;1;;1;0;1;0;;1;0;1;0
9;3;1;;0;0;0;0;;1;0;1;1
0;3;1;;1;0;1;0;;1;1;0;1
2;4;10;620.0;1;0;0;0;495.125;0;0;1;1
5;2;2;;0;0;0;0;;1;0;1;1
3;5;2;520.0;0;0;0;0;516.3499999999999;0;0;1;0
1;5;9;;0;0;1;0;;1;0;1;1
1;4;2;0.0;1;0;1;0;357.42499999999995;0;0;1;1
4;4;1;440.0;1;0;0;0;499.34999999999997;0;0;1;1
19;4;16;0.0;1;0;0;1;411.75;0;0;1;1
9;5;16;460.0;1;0;1;0;402.85;0;0;1;1
7;5;10;960.0;1;0;0;0;602.8249999999999;0;1;0;1
4;3;8;920.0;1;0;0;0;634.3;0;1;0;1
10;2;2;0.0;1;0;0;0;467.30000000000007;0;0;1;1
6;3;1;440.0;0;0;0;0;439.625;0;0;1;1
12;2;3;360.0;1;0;0;0;499.7;1;1;0;1
5;5;1;320.0;0;0;0;0;506.875;0;0;1;1
9;3;3;780.0;1;0;0;0;558.275;0;0;1;1
0;3;4;720.0;1;1;0;0;545.625;0;1;0;1
1;4;11;540.0;0;0;1;0;443.475;0;0;1;1
0;4;11;;1;0;1;0;;1;0;1;1
1;3;1;;1;0;1;0;;1;1;0;1
3;5;1;660.0;1;0;0;0;445.8;0;0;1;1
1;5;2;;1;0;0;0;;1;0;1;1
11;3;2;480.0;1;0;0;0;537.225;0;0;1;1
13;2;16;520.0;1;0;0;0;475.875;0;0;1;1
1;3;8;860.0;1;0;0;0;513.325;0;1;0;1
0;3;10;780.0;1;1;0;0;571.575;0;1;0;1
3;4;3;720.0;1;0;0;0;590.625;0;0;1;1
2;8;2;0.0;0;0;1;0;445.8;0;0;1;1
0;4;4;780.0;1;1;0;0;618.8499999999999;0;1;0;1
0;3;10;680.0;1;1;0;0;542.625;0;1;0;1
7;3;10;880.0;1;0;0;0;696.225;0;1;0;1
2;4;11;900.0;1;0;0;0;527.25;0;1;0;1
1;7;1;700.0;1;0;1;0;446.69999999999993;0;0;1;1
19;4;11;720.0;0;0;0;1;516.475;0;1;0;1
2;4;9;620.0;0;0;0;0;535.325;0;1;0;1
11;6;1;600.0;1;0;0;0;477.075;0;0;1;1
1;4;9;;0;0;1;0;;1;0;1;1
2;4;10;600.0;1;0;0;0;488.775;0;0;1;1
9;2;1;460.0;1;0;0;0;422.875;0;1;0;1
1;4;11;0.0;1;0;1;0;448.90000000000003;0;1;0;1
6;2;1;;1;0;0;0;;1;0;1;1
1;4;1;0.0;1;0;1;0;417.675;0;0;1;1
1;5;2;;1;0;1;0;;1;0;1;0
6;3;11;;1;0;0;0;;1;1;0;1
12;4;1;;1;0;0;0;;1;0;1;0
3;6;1;;0;0;0;0;;1;0;1;1
19;4;7;800.0;1;0;0;1;580.175;0;1;0;1
3;3;12;680.0;1;0;0;0;530.15;0;1;0;1
3;5;1;;0;0;0;0;;1;0;1;1
5;2;3;;1;0;0;0;;1;1;0;1
0;2;1;540.0;0;0;1;0;539.6;0;1;0;0
3;3;1;;0;0;1;0;;1;1;0;0
3;7;8;440.0;1;0;0;0;479.25;0;0;1;1
0;5;8;340.0;1;0;1;0;494.70000000000005;0;0;0;1
0;3;1;600.0;0;0;1;0;461.17500000000007;0;0;1;1
2;4;1;0.0;1;0;1;0;513.65;0;0;1;1
8;2;1;;0;0;0;0;;1;0;1;1
9;3;1;840.0;0;0;0;0;608.75;0;0;1;1
1;3;2;560.0;0;0;0;0;531.05;0;1;0;1
1;5;2;640.0;0;0;1;0;522.65;0;0;1;1
5;3;1;;0;0;0;0;;1;0;1;1
1;3;2;700.0;0;0;1;0;577.125;0;1;0;1
1;5;0;840.0;1;1;0;0;645.0;0;1;0;1
19;3;3;580.0;0;0;0;1;559.7;1;1;0;1
1;4;1;660.0;1;0;1;0;473.325;0;1;0;1
0;2;2;860.0;1;0;1;0;543.525;0;0;1;1
0;3;14;640.0;0;0;1;0;640.425;0;1;0;1
10;4;1;560.0;0;0;0;0;448.6;0;0;1;1
1;4;1;620.0;1;0;0;0;417.85;0;0;1;1
4;2;1;580.0;0;0;0;0;386.725;0;0;1;1
0;3;10;940.0;1;0;1;0;498.625;0;1;0;1
0;6;1;580.0;1;0;1;0;575.1500000000001;0;1;0;1
1;2;16;480.0;1;0;1;0;462.04999999999995;0;0;1;1
1;5;1;860.0;1;0;1;0;519.75;0;0;1;0
0;4;3;700.0;0;0;1;0;567.3;0;0;1;1
1;4;8;840.0;1;0;0;0;681.4;0;1;0;1
4;3;1;560.0;1;0;0;1;465.025;0;1;0;1
19;4;3;500.0;1;0;0;1;436.725;0;1;0;1
2;2;1;900.0;1;0;0;0;605.775;0;1;0;1
19;8;3;580.0;1;0;0;1;432.54999999999995;0;0;1;1
1;4;1;;1;0;0;0;;1;0;1;1
1;4;13;;0;0;1;0;;1;1;0;1
1;7;2;;1;0;0;1;;1;0;1;1
19;3;1;600.0;1;0;0;1;501.025;0;1;0;1
11;2;1;;1;0;0;0;;1;0;1;1
0;3;1;760.0;1;0;0;1;499.6500000000001;0;0;1;1
